id,timestamp,ip,temperature,humidity,light,timestamp_anio,timestamp_mes,timestamp_dia,timestamp_hora,timestamp_minuto,timestamp_segundo
5474,2024-12-20 08:09:13.683224,192.168.1.50,7.38,95.0,1072,2024,12,20,8,9,13
5840,2024-12-30 05:57:17.683224,192.168.1.50,9.45,53.9,0,2024,12,30,5,57,17
3883,2024-12-30 14:18:53.683224,192.168.1.50,15.45,38.3,36018,2024,12,30,14,18,53
5468,2025-01-14 04:15:24.683224,192.168.1.50,8.8,79.3,0,2025,1,14,4,15,24
3601,2025-01-16 11:38:40.683224,192.168.1.50,10.76,44.7,57056,2025,1,16,11,38,40
4295,2025-02-07 20:43:04.683224,192.168.1.50,17.96,69.6,49871,2025,2,7,20,43,4
3268,2025-02-09 11:07:43.683224,192.168.1.50,17.05,35.0,33908,2025,2,9,11,7,43
2336,2025-02-23 11:45:52.683224,192.168.1.50,19.71,51.4,53619,2025,2,23,11,45,52
5194,2025-03-07 22:04:26.683224,192.168.1.50,8.52,65.9,0,2025,3,7,22,4,26
3225,2025-04-28 08:53:04.683224,192.168.1.50,16.99,48.4,0,2025,4,28,8,53,4
3518,2025-05-16 04:07:55.683224,192.168.1.50,17.57,63.8,0,2025,5,16,4,7,55
4110,2025-05-28 04:58:51.683224,192.168.1.50,3.68,96.9,0,2025,5,28,4,58,51
4370,2025-06-01 16:45:09.683224,192.168.1.50,20.54,33.4,15856,2025,6,1,16,45,9
2581,2025-06-21 17:29:37.683224,192.168.1.50,19.17,55.7,5372,2025,6,21,17,29,37
3594,2025-06-23 13:37:09.683224,192.168.1.50,31.7,51.8,16193,2025,6,23,13,37,9
4355,2025-07-09 04:37:33.683224,192.168.1.50,21.56,30.3,0,2025,7,9,4,37,33
2693,2025-07-24 11:16:32.683224,192.168.1.50,21.64,41.4,44607,2025,7,24,11,16,32
13,2025-10-23 14:01:57.809972,10.207.51.79,25.0,37.0,2455,2025,10,23,14,1,57
87,2025-10-23 14:10:06.620123,10.207.51.79,24.0,39.0,2368,2025,10,23,14,10,6
3860,2025-11-11 06:12:46.683224,192.168.1.50,18.28,43.4,0,2025,11,11,6,12,46
573,2025-11-17 01:22:41.136186,192.168.1.50,5.29,58.9,0,2025,11,17,1,22,41
587,2025-11-22 04:14:17.136186,192.168.1.50,6.14,76.2,0,2025,11,22,4,14,17
659,2025-11-28 14:59:57.136186,192.168.1.50,22.37,35.5,37288,2025,11,28,14,59,57
2807,2025-12-02 07:47:00.683224,192.168.1.50,7.3,35.3,0,2025,12,2,7,47,0
154,2025-12-03 01:57:12.136186,192.168.1.50,3.92,68.3,0,2025,12,3,1,57,12
1954,2024-12-15 02:56:02.683224,192.168.1.50,8.09,98.1,0,2024,12,15,2,56,2
2814,2024-12-17 16:55:44.683224,192.168.1.50,2.94,98.1,4765,2024,12,17,16,55,44
3659,2024-12-22 19:09:28.683224,192.168.1.50,5.31,69.7,19136,2024,12,22,19,9,28
4507,2025-01-05 04:19:20.683224,192.168.1.50,1.89,68.6,0,2025,1,5,4,19,20
2938,2025-03-17 19:50:09.683224,192.168.1.50,16.17,72.4,49190,2025,3,17,19,50,9
2088,2025-03-26 00:49:21.683224,192.168.1.50,10.92,40.6,0,2025,3,26,0,49,21
1241,2025-04-12 09:31:00.683224,192.168.1.50,15.05,64.2,34667,2025,4,12,9,31,0
1930,2025-04-17 19:28:46.683224,192.168.1.50,21.25,54.7,52799,2025,4,17,19,28,46
2095,2025-04-20 19:34:12.683224,192.168.1.50,20.44,59.8,23186,2025,4,20,19,34,12
5607,2025-05-02 22:14:48.683224,192.168.1.50,9.33,43.1,0,2025,5,2,22,14,48
4349,2025-05-12 17:42:47.683224,192.168.1.50,15.45,56.5,55065,2025,5,12,17,42,47
2092,2025-05-22 08:54:07.683224,192.168.1.50,8.91,66.2,0,2025,5,22,8,54,7
3880,2025-06-06 02:30:47.683224,192.168.1.50,14.09,44.3,0,2025,6,6,2,30,47
4844,2025-06-07 14:31:33.683224,192.168.1.50,30.69,55.9,64386,2025,6,7,14,31,33
1375,2025-08-16 15:58:34.683224,192.168.1.50,16.71,87.2,1102,2025,8,16,15,58,34
5260,2025-08-27 07:32:57.683224,192.168.1.50,25.15,63.2,0,2025,8,27,7,32,57
1512,2025-09-16 13:27:46.683224,192.168.1.50,18.38,49.8,31289,2025,9,16,13,27,46
4081,2025-09-20 14:01:52.683224,192.168.1.50,21.23,93.0,1726,2025,9,20,14,1,52
1902,2025-09-24 05:47:53.683224,192.168.1.50,6.15,34.9,0,2025,9,24,5,47,53
4382,2025-10-02 22:55:17.683224,192.168.1.50,9.61,74.2,0,2025,10,2,22,55,17
3270,2025-10-10 05:34:38.683224,192.168.1.50,18.96,73.4,0,2025,10,10,5,34,38
4067,2025-10-12 17:06:45.683224,192.168.1.50,14.25,40.3,27761,2025,10,12,17,6,45
3779,2025-11-01 18:46:12.683224,192.168.1.50,18.77,65.6,45737,2025,11,1,18,46,12
590,2025-11-08 23:49:06.136186,192.168.1.50,6.24,58.7,0,2025,11,8,23,49,6
182,2025-11-14 02:43:25.136186,192.168.1.50,12.33,66.7,0,2025,11,14,2,43,25
983,2025-11-16 02:06:50.136186,192.168.1.50,5.73,89.4,0,2025,11,16,2,6,50
277,2025-11-17 16:05:39.136186,192.168.1.50,23.86,37.4,54344,2025,11,17,16,5,39
592,2025-11-21 05:36:41.136186,192.168.1.50,8.94,64.8,0,2025,11,21,5,36,41
480,2025-11-21 14:49:47.136186,192.168.1.50,23.68,66.3,50650,2025,11,21,14,49,47
598,2025-11-23 06:12:23.136186,192.168.1.50,4.39,88.4,0,2025,11,23,6,12,23
771,2025-11-24 10:48:57.136186,192.168.1.50,18.11,31.6,4184,2025,11,24,10,48,57
872,2025-11-25 10:01:44.136186,192.168.1.50,21.18,32.3,35531,2025,11,25,10,1,44
611,2025-11-26 13:50:35.136186,192.168.1.50,22.6,49.1,21691,2025,11,26,13,50,35
718,2025-12-04 04:24:14.136186,192.168.1.50,13.7,39.2,0,2025,12,4,4,24,14
2706,2024-12-16 01:04:23.683224,192.168.1.50,1.11,37.4,0,2024,12,16,1,4,23
3610,2024-12-21 23:21:56.683224,192.168.1.50,-2.0,91.6,0,2024,12,21,23,21,56
2305,2025-01-06 06:11:01.683224,192.168.1.50,12.15,75.1,0,2025,1,6,6,11,1
1504,2025-01-15 20:00:23.683224,192.168.1.50,14.45,43.9,58647,2025,1,15,20,0,23
3108,2025-02-19 19:52:17.683224,192.168.1.50,14.59,71.7,62442,2025,2,19,19,52,17
4128,2025-02-21 08:53:44.683224,192.168.1.50,13.4,53.9,7676,2025,2,21,8,53,44
3502,2025-02-24 10:05:48.683224,192.168.1.50,10.75,60.8,26376,2025,2,24,10,5,48
5583,2025-03-01 00:49:40.683224,192.168.1.50,9.95,56.1,0,2025,3,1,0,49,40
1184,2025-03-29 23:24:09.683224,192.168.1.50,16.95,66.3,0,2025,3,29,23,24,9
3692,2025-04-26 08:41:47.683224,192.168.1.50,18.69,65.6,0,2025,4,26,8,41,47
3458,2025-04-30 01:05:52.683224,192.168.1.50,14.0,58.4,0,2025,4,30,1,5,52
3296,2025-06-12 20:47:12.683224,192.168.1.50,22.24,67.8,3758,2025,6,12,20,47,12
3159,2025-06-17 05:02:58.683224,192.168.1.50,11.5,52.0,0,2025,6,17,5,2,58
5014,2025-07-27 17:41:39.683224,192.168.1.50,31.39,33.9,38471,2025,7,27,17,41,39
3066,2025-07-29 09:29:08.683224,192.168.1.50,27.39,90.8,1845,2025,7,29,9,29,8
4079,2025-08-01 10:45:14.683224,192.168.1.50,18.31,64.4,27407,2025,8,1,10,45,14
5495,2025-08-04 02:18:08.683224,192.168.1.50,17.35,62.0,0,2025,8,4,2,18,8
4493,2025-08-05 00:44:18.683224,192.168.1.50,19.37,55.6,0,2025,8,5,0,44,18
2852,2025-09-21 09:30:09.683224,192.168.1.50,18.51,35.1,12639,2025,9,21,9,30,9
2723,2025-10-14 20:22:07.683224,192.168.1.50,23.88,56.7,30287,2025,10,14,20,22,7
2936,2025-10-15 18:20:00.683224,192.168.1.50,19.82,31.8,2510,2025,10,15,18,20,0
690,2025-11-11 01:54:38.136186,192.168.1.50,7.75,54.3,0,2025,11,11,1,54,38
4971,2025-11-13 02:12:58.683224,192.168.1.50,11.19,49.9,0,2025,11,13,2,12,58
143,2025-11-17 00:48:45.136186,192.168.1.50,17.32,47.0,0,2025,11,17,0,48,45
450,2025-11-20 10:38:36.136186,192.168.1.50,22.21,77.0,34942,2025,11,20,10,38,36
2853,2025-11-21 12:40:56.683224,192.168.1.50,14.62,35.0,54939,2025,11,21,12,40,56
168,2025-11-22 18:29:56.136186,192.168.1.50,11.1,74.8,19202,2025,11,22,18,29,56
5204,2025-11-23 13:45:16.683224,192.168.1.50,19.61,69.6,41304,2025,11,23,13,45,16
933,2025-12-02 10:11:31.136186,192.168.1.50,21.81,45.3,19298,2025,12,2,10,11,31
1566,2024-12-25 19:40:04.683224,192.168.1.50,17.41,44.7,47115,2024,12,25,19,40,4
5552,2024-12-28 15:14:10.683224,192.168.1.50,11.04,61.4,30956,2024,12,28,15,14,10
4389,2025-01-02 02:49:57.683224,192.168.1.50,3.2,53.4,0,2025,1,2,2,49,57
1539,2025-02-07 04:05:26.683224,192.168.1.50,3.76,68.6,0,2025,2,7,4,5,26
3598,2025-02-12 11:56:52.683224,192.168.1.50,7.55,34.5,4212,2025,2,12,11,56,52
4542,2025-02-26 11:14:46.683224,192.168.1.50,15.31,42.9,35327,2025,2,26,11,14,46
3491,2025-03-13 20:56:26.683224,192.168.1.50,26.81,40.1,58914,2025,3,13,20,56,26
3312,2025-03-23 16:34:37.683224,192.168.1.50,24.42,36.9,44127,2025,3,23,16,34,37
5337,2025-03-28 16:04:40.683224,192.168.1.50,22.78,66.8,22117,2025,3,28,16,4,40
1817,2025-03-28 20:49:35.683224,192.168.1.50,14.29,94.7,1668,2025,3,28,20,49,35
2168,2025-04-09 07:45:49.683224,192.168.1.50,19.26,38.5,0,2025,4,9,7,45,49
1234,2025-05-16 17:35:59.683224,192.168.1.50,23.97,42.4,41007,2025,5,16,17,35,59
3686,2025-06-04 13:23:56.683224,192.168.1.50,27.67,98.0,1330,2025,6,4,13,23,56
4418,2025-06-08 14:47:34.683224,192.168.1.50,25.69,57.2,7269,2025,6,8,14,47,34
1178,2025-06-16 12:47:31.683224,192.168.1.50,26.81,87.8,1169,2025,6,16,12,47,31
2343,2025-06-16 18:46:48.683224,192.168.1.50,18.25,31.4,23454,2025,6,16,18,46,48
1230,2025-06-24 03:19:42.683224,192.168.1.50,19.08,57.8,0,2025,6,24,3,19,42
1532,2025-07-15 18:40:18.683224,192.168.1.50,23.67,68.2,51556,2025,7,15,18,40,18
2785,2025-08-06 14:04:51.683224,192.168.1.50,32.04,53.6,49750,2025,8,6,14,4,51
4628,2025-08-11 03:51:39.683224,192.168.1.50,11.95,66.0,0,2025,8,11,3,51,39
6029,2025-08-25 12:32:16.683224,192.168.1.50,22.79,33.8,12982,2025,8,25,12,32,16
5981,2025-08-27 07:09:27.683224,192.168.1.50,18.83,93.8,0,2025,8,27,7,9,27
5227,2025-09-02 14:05:42.683224,192.168.1.50,13.16,32.7,13865,2025,9,2,14,5,42
3767,2025-09-11 13:47:39.683224,192.168.1.50,11.65,60.4,44474,2025,9,11,13,47,39
2916,2025-09-15 03:08:26.683224,192.168.1.50,11.66,46.6,0,2025,9,15,3,8,26
5770,2025-10-05 21:34:23.683224,192.168.1.50,21.1,72.9,22457,2025,10,5,21,34,23
5224,2025-10-19 01:36:57.683224,192.168.1.50,8.6,42.5,0,2025,10,19,1,36,57
37,2025-10-23 14:04:17.754925,10.207.51.79,24.0,39.0,2416,2025,10,23,14,4,17
204,2025-11-05 13:44:22.136186,192.168.1.50,24.54,54.7,12418,2025,11,5,13,44,22
519,2025-11-12 19:57:44.136186,192.168.1.50,23.98,59.6,9271,2025,11,12,19,57,44
5812,2025-11-19 11:22:36.683224,192.168.1.50,20.04,78.9,64370,2025,11,19,11,22,36
810,2025-11-20 10:08:03.136186,192.168.1.50,21.09,65.7,15256,2025,11,20,10,8,3
337,2025-11-21 07:24:18.136186,192.168.1.50,11.41,59.0,0,2025,11,21,7,24,18
915,2025-11-21 10:56:37.136186,192.168.1.50,21.42,78.3,47676,2025,11,21,10,56,37
4502,2025-11-21 14:40:48.683224,192.168.1.50,19.56,39.3,9542,2025,11,21,14,40,48
1096,2025-11-21 17:25:53.136186,192.168.1.50,11.72,92.4,3541,2025,11,21,17,25,53
648,2025-11-26 18:04:41.136186,192.168.1.50,17.71,44.0,45180,2025,11,26,18,4,41
